transaction_id,customer_id,amount,transaction_type,location_country,channel,time_of_day,txn_frequency_30d,account_age_days,customer_risk_band
TXN00133,CUST011,15693.42,RTGS,UAE,Mobile,Morning,16,948,Medium
TXN00134,CUST001,14070.57,IMPS,Nigeria,POS,Night,16,464,Low
TXN00135,CUST002,23346.03,IMPS,USA,Web,Morning,16,1388,Low
TXN00136,CUST017,5753.2,Crypto,Singapore,Mobile,Afternoon,21,195,Low
TXN00137,CUST002,5994.94,IMPS,Singapore,Mobile,Morning,21,1159,Medium
TXN00138,CUST010,19831.41,Crypto,Germany,Mobile,Afternoon,23,213,Low
TXN00139,CUST013,18457.39,Crypto,UAE,ATM,Morning,18,98,Medium
TXN00140,CUST012,39136.53,RTGS,UAE,POS,Morning,15,1800,Low
TXN00141,CUST019,8666.67,SWIFT,Singapore,Mobile,Afternoon,13,1716,Low
TXN00142,CUST007,1370.18,IMPS,Nigeria,Mobile,Night,10,1573,Medium
TXN00143,CUST002,1985.33,SWIFT,Nigeria,Mobile,Morning,17,1917,High
TXN00144,CUST015,6423.81,SWIFT,USA,POS,Afternoon,17,663,Low
TXN00145,CUST001,2534.08,NEFT,Singapore,ATM,Morning,19,711,Medium
TXN00146,CUST020,1948.12,NEFT,UAE,Web,Afternoon,9,262,Low
TXN00147,CUST002,4400.43,RTGS,India,Mobile,Morning,21,1783,Medium
TXN00148,CUST006,11724.57,NEFT,Nigeria,ATM,Morning,16,379,Medium
TXN00149,CUST008,1707.62,SWIFT,Singapore,Mobile,Afternoon,13,833,Low
TXN00150,CUST009,16409.35,NEFT,Singapore,POS,Night,18,748,Medium
TXN00151,CUST003,7691.44,IMPS,Singapore,POS,Night,22,57,Low
TXN00152,CUST005,4603.13,IMPS,Singapore,Web,Afternoon,14,555,Medium
TXN00153,CUST009,1598.63,RTGS,USA,ATM,Morning,10,948,Low
TXN00154,CUST016,7167.79,SWIFT,UAE,ATM,Morning,15,1559,Low
TXN00155,CUST017,4371.83,IMPS,Germany,Web,Night,14,1684,Low
TXN00156,CUST013,4736.65,NEFT,USA,Web,Afternoon,11,841,Low
TXN00157,CUST007,2655.51,IMPS,Germany,Web,Afternoon,13,1447,Medium
TXN00158,CUST019,15567.09,IMPS,Singapore,ATM,Morning,15,140,Medium
TXN00159,CUST014,13349.26,Crypto,UAE,Mobile,Afternoon,16,777,Medium
TXN00160,CUST015,1364.85,Crypto,USA,ATM,Night,12,1335,Medium
TXN00161,CUST006,9353.59,IMPS,USA,Web,Morning,12,1794,High
TXN00162,CUST014,27134.42,SWIFT,USA,Web,Morning,13,1403,Low
TXN00163,CUST002,2064.92,IMPS,UAE,Mobile,Afternoon,12,852,Low
TXN00164,CUST010,18471.5,NEFT,USA,Web,Afternoon,7,258,High
TXN00165,CUST005,40386.42,SWIFT,USA,ATM,Morning,9,1785,Low
TXN00166,CUST010,24936.92,RTGS,Germany,POS,Afternoon,15,603,Low
TXN00167,CUST014,26503.85,IMPS,India,POS,Morning,16,1488,Medium
TXN00168,CUST016,18237.61,IMPS,Germany,Mobile,Morning,17,561,High
TXN00169,CUST007,2776.13,NEFT,Germany,POS,Afternoon,9,349,Medium
TXN00170,CUST007,913.37,SWIFT,Singapore,Web,Morning,13,931,Medium
TXN00171,CUST020,4103.84,Crypto,UAE,ATM,Night,10,201,Medium
TXN00172,CUST018,2253.09,NEFT,Singapore,ATM,Night,17,1372,Medium
TXN00173,CUST008,11441.41,IMPS,USA,Mobile,Night,18,1973,Low
TXN00174,CUST007,9316.63,Crypto,UAE,POS,Afternoon,19,1634,High
TXN00175,CUST006,17756.07,IMPS,UAE,Mobile,Afternoon,25,405,Low
TXN00176,CUST003,47027.25,Crypto,USA,POS,Morning,11,542,Low
TXN00177,CUST017,13513.93,IMPS,USA,Web,Night,16,1893,Medium
TXN00178,CUST015,17599.17,NEFT,India,POS,Morning,19,880,Low
TXN00179,CUST001,10942.14,RTGS,Germany,Mobile,Morning,15,1802,Low
TXN00180,CUST010,8874.77,Crypto,India,ATM,Night,17,645,Low
TXN00181,CUST020,4731.2,Crypto,Germany,ATM,Afternoon,14,1076,Low
TXN00182,CUST012,5775.79,SWIFT,Singapore,ATM,Afternoon,16,1036,Low
TXN00183,CUST015,4843.32,Crypto,India,Web,Morning,15,1092,Medium
TXN00184,CUST013,1243.15,SWIFT,Nigeria,Mobile,Afternoon,23,583,Medium
TXN00185,CUST006,1499.77,NEFT,Germany,Web,Afternoon,19,507,Medium
TXN00186,CUST011,22433.03,Crypto,India,ATM,Morning,19,1150,Low
TXN00187,CUST010,12275.16,NEFT,Singapore,POS,Morning,18,225,Low
TXN00188,CUST007,8437.14,NEFT,India,POS,Afternoon,13,1212,Low
TXN00189,CUST008,4761.37,NEFT,UAE,ATM,Night,14,44,Low
TXN00190,CUST006,15960.05,NEFT,India,Mobile,Morning,10,873,Medium
TXN00191,CUST020,14778.92,NEFT,USA,Web,Afternoon,16,1336,Low
TXN00192,CUST008,4241.83,SWIFT,Germany,POS,Night,16,844,Low
TXN00193,CUST013,3395.79,IMPS,Germany,POS,Afternoon,10,1022,Low
TXN00194,CUST011,182.76,NEFT,USA,ATM,Morning,16,917,Medium
TXN00195,CUST008,232.92,NEFT,Singapore,Mobile,Morning,17,1852,Medium
TXN00196,CUST006,9332.21,Crypto,UAE,POS,Afternoon,14,1349,Low
TXN00197,CUST011,18353.33,Crypto,India,ATM,Morning,21,1666,Low
TXN00198,CUST004,41891.74,Crypto,UAE,Mobile,Night,19,854,High
TXN00199,CUST019,4036.86,IMPS,Singapore,POS,Afternoon,13,1964,Low
TXN00200,CUST018,5091.65,SWIFT,Singapore,Web,Night,7,1489,High
TXN00201,CUST007,15501.78,SWIFT,India,Mobile,Afternoon,16,273,Low
TXN00202,CUST012,7708.83,RTGS,India,Mobile,Morning,22,1263,Low
TXN00203,CUST010,6555.37,SWIFT,India,Web,Night,22,984,High
TXN00204,CUST017,6022.82,IMPS,Singapore,POS,Afternoon,10,1233,Low
TXN00205,CUST001,5428.76,NEFT,India,Mobile,Night,21,92,Low
TXN00206,CUST014,3251.59,Crypto,Nigeria,POS,Afternoon,11,1102,Low
TXN00207,CUST001,1960.59,IMPS,USA,ATM,Afternoon,25,1683,Medium
TXN00208,CUST012,19706.37,NEFT,Germany,Web,Afternoon,15,356,Low
TXN00209,CUST012,9048.19,SWIFT,UAE,Mobile,Morning,8,1944,Low
TXN00210,CUST010,16083.49,NEFT,India,ATM,Morning,13,1358,High
TXN00211,CUST018,372.34,Crypto,UAE,Mobile,Night,15,47,Low
TXN00212,CUST012,3482.03,NEFT,USA,POS,Morning,18,531,Medium
TXN00213,CUST001,5811.81,IMPS,India,POS,Morning,14,860,Low
TXN00214,CUST001,1086.79,Crypto,Germany,Mobile,Morning,13,1696,Low
TXN00215,CUST011,4673.02,Crypto,India,ATM,Night,12,1433,Medium
TXN00216,CUST003,16131.94,NEFT,Germany,Web,Morning,20,342,Low
TXN00217,CUST008,2509.93,RTGS,USA,ATM,Afternoon,12,357,Medium
TXN00218,CUST018,1099.36,IMPS,India,ATM,Afternoon,19,1662,Low
TXN00219,CUST002,8135.57,IMPS,India,Mobile,Morning,23,939,Low
TXN00220,CUST018,3469.34,SWIFT,USA,Mobile,Night,21,804,Medium
TXN00221,CUST007,13314.45,SWIFT,India,Web,Morning,20,944,Low
TXN00222,CUST009,8747.69,Crypto,Nigeria,Web,Morning,14,844,Low
TXN00223,CUST004,9801.93,SWIFT,Singapore,ATM,Afternoon,13,736,Low
TXN00224,CUST003,8923.18,Crypto,Singapore,Mobile,Morning,12,963,High
TXN00225,CUST020,14864.88,Crypto,Nigeria,Mobile,Night,13,1920,Low
TXN00226,CUST016,29652.67,Crypto,Germany,Web,Morning,18,743,Medium
TXN00227,CUST006,8341.96,Crypto,Singapore,POS,Afternoon,11,1262,Low
TXN00228,CUST011,3129.01,RTGS,Nigeria,POS,Night,15,1412,Low
TXN00229,CUST008,2459.3,IMPS,Singapore,ATM,Afternoon,17,695,Low
TXN00230,CUST007,7458.95,RTGS,USA,ATM,Night,11,104,Low
TXN00231,CUST016,17292.57,IMPS,Nigeria,ATM,Morning,15,70,Medium
TXN00232,CUST014,3202.81,RTGS,Germany,Web,Afternoon,16,1431,Medium
TXN00233,CUST006,12736.89,RTGS,UAE,Web,Morning,9,56,Low
TXN00234,CUST018,23027.72,IMPS,UAE,POS,Night,20,297,High
TXN00235,CUST018,10026.61,SWIFT,Germany,ATM,Morning,15,1454,Medium
TXN00236,CUST007,5426.1,NEFT,India,POS,Night,14,1629,High
TXN00237,CUST020,4367.57,Crypto,USA,Web,Night,24,722,Low
TXN00238,CUST013,9242.02,RTGS,Nigeria,ATM,Night,12,1349,Low
TXN00239,CUST017,5748.19,SWIFT,India,POS,Morning,21,773,Medium
TXN00240,CUST001,8356.44,Crypto,Germany,Web,Morning,15,787,Low
TXN00241,CUST016,1450.27,NEFT,UAE,Mobile,Afternoon,15,780,Low
TXN00242,CUST012,3041.69,RTGS,Germany,Mobile,Morning,16,987,Low
TXN00243,CUST006,31063.58,IMPS,USA,POS,Night,10,1503,Medium
TXN00244,CUST017,1127.19,NEFT,Singapore,ATM,Night,15,71,Low
TXN00245,CUST006,6155.97,SWIFT,UAE,POS,Night,8,137,Low
TXN00246,CUST016,11864.49,Crypto,Singapore,Web,Night,12,304,Low
TXN00247,CUST015,3777.48,SWIFT,Nigeria,ATM,Afternoon,15,1645,Medium
TXN00248,CUST016,20631.42,Crypto,USA,POS,Morning,17,739,Low
TXN00249,CUST009,39412.87,SWIFT,USA,Web,Morning,21,1624,High
TXN00250,CUST017,43955.58,IMPS,UAE,Mobile,Afternoon,23,807,Low
TXN00251,CUST007,8873.72,Crypto,Singapore,Mobile,Night,15,364,Low
TXN00252,CUST013,11954.1,IMPS,Nigeria,Web,Morning,15,964,High
TXN00253,CUST013,6072.33,RTGS,India,Mobile,Morning,15,1579,Medium
TXN00254,CUST006,9070.09,RTGS,UAE,Mobile,Night,12,1151,High
TXN00255,CUST013,21628.09,RTGS,India,Mobile,Night,15,1012,Low
TXN00256,CUST002,675.9,Crypto,UAE,Mobile,Night,13,1402,Medium
TXN00257,CUST011,10836.9,NEFT,Singapore,Web,Morning,18,522,Low
TXN00258,CUST017,9567.57,IMPS,USA,Mobile,Morning,12,1223,Low
TXN00259,CUST017,46398.98,SWIFT,Singapore,Mobile,Morning,14,1944,Medium
TXN00260,CUST004,61821.94,SWIFT,India,Web,Night,13,506,Low
TXN00261,CUST012,383.22,Crypto,Nigeria,Mobile,Morning,15,1801,Low
TXN00262,CUST019,41403.97,NEFT,Singapore,ATM,Afternoon,18,1412,Low
TXN00263,CUST020,7392.31,IMPS,Nigeria,ATM,Morning,18,1482,Low
TXN00264,CUST006,4379.19,IMPS,Nigeria,ATM,Night,12,322,Low
TXN00265,CUST016,430.05,RTGS,India,Web,Afternoon,14,1397,Low
TXN00266,CUST011,1328.89,RTGS,USA,Mobile,Night,12,836,High
TXN00267,CUST011,21129.43,NEFT,Germany,POS,Morning,23,1898,Low
TXN00268,CUST019,45268.13,NEFT,Germany,Web,Night,18,1637,Medium
TXN00269,CUST002,28600.09,SWIFT,UAE,ATM,Morning,17,1546,Medium
TXN00270,CUST019,1282.18,NEFT,Nigeria,ATM,Night,6,966,Medium
TXN00271,CUST002,2063.33,Crypto,India,Mobile,Morning,18,1826,Low
TXN00272,CUST008,9936.52,Crypto,Singapore,Web,Night,11,1073,Low
TXN00273,CUST011,52800.5,RTGS,UAE,Web,Night,11,719,Low
TXN00274,CUST005,6756.73,RTGS,Nigeria,ATM,Night,15,922,Medium
TXN00275,CUST001,7699.73,SWIFT,UAE,Web,Night,16,1663,High
TXN00276,CUST002,6114.42,SWIFT,Germany,ATM,Night,14,1594,Low
TXN00277,CUST006,21959.58,NEFT,USA,ATM,Morning,19,1314,Low
TXN00278,CUST017,13288.28,RTGS,Germany,Web,Afternoon,12,67,Medium
TXN00279,CUST019,3007.72,IMPS,India,ATM,Night,18,483,Low
TXN00280,CUST012,32733.84,RTGS,UAE,Web,Morning,20,144,Low
TXN00281,CUST020,17411.48,SWIFT,Singapore,Web,Afternoon,13,1912,Low
TXN00282,CUST012,19987.31,Crypto,UAE,ATM,Night,18,365,Medium
TXN00283,CUST017,10742.67,NEFT,Germany,POS,Afternoon,17,1398,Low
TXN00284,CUST004,26605.52,SWIFT,Singapore,Web,Morning,9,729,Medium
TXN00285,CUST012,1726.94,Crypto,Singapore,Mobile,Night,10,1723,Low
TXN00286,CUST005,23936.19,NEFT,Germany,Mobile,Night,18,1277,Low
TXN00287,CUST002,878.46,RTGS,India,ATM,Morning,13,389,Medium
TXN00288,CUST018,3008.4,NEFT,Nigeria,ATM,Night,17,704,High
TXN00289,CUST019,1374.81,Crypto,India,Web,Night,12,1286,Low
TXN00290,CUST006,32966.21,IMPS,Nigeria,ATM,Morning,13,1275,Low
TXN00291,CUST018,14012.0,NEFT,USA,Web,Night,19,513,Medium
TXN00292,CUST016,702.48,SWIFT,Germany,Mobile,Night,13,947,Medium
TXN00293,CUST013,12329.62,RTGS,Germany,ATM,Night,15,1173,Medium
TXN00294,CUST009,468.21,Crypto,India,Mobile,Morning,10,1060,Low
TXN00295,CUST010,678.79,SWIFT,UAE,POS,Night,19,1981,Low
TXN00296,CUST009,14714.49,IMPS,UAE,Mobile,Night,17,1483,Medium
TXN00297,CUST003,6321.26,NEFT,India,POS,Afternoon,23,1542,Low
TXN00298,CUST017,1786.77,SWIFT,USA,Mobile,Morning,11,1003,Low
TXN00299,CUST004,2614.34,NEFT,Germany,Mobile,Afternoon,25,1018,Medium
TXN00300,CUST004,28755.68,Crypto,USA,Web,Afternoon,14,1827,Medium
TXN00301,CUST013,14275.08,NEFT,Singapore,POS,Afternoon,14,599,Low
TXN00302,CUST001,22452.53,Crypto,Nigeria,Web,Afternoon,12,1885,Low
TXN00303,CUST011,20258.84,RTGS,India,ATM,Night,18,521,Low
TXN00304,CUST018,6409.53,IMPS,India,POS,Night,26,1710,Medium
TXN00305,CUST014,955.91,IMPS,India,ATM,Afternoon,10,1615,Medium
TXN00306,CUST014,14313.92,IMPS,India,Web,Night,16,722,High
TXN00307,CUST009,24285.57,RTGS,USA,Web,Night,26,556,Low
TXN00308,CUST018,6568.58,RTGS,USA,Web,Afternoon,9,1289,Medium
TXN00309,CUST009,2844.07,SWIFT,Germany,Mobile,Afternoon,16,985,Medium
TXN00310,CUST012,663.63,NEFT,UAE,Mobile,Morning,16,1397,Medium
TXN00311,CUST005,5678.31,IMPS,Germany,Mobile,Afternoon,15,367,Low
TXN00312,CUST006,6538.09,NEFT,India,ATM,Afternoon,16,1354,Medium
TXN00313,CUST001,14149.38,IMPS,UAE,POS,Morning,10,1099,Medium
TXN00314,CUST010,1537.29,Crypto,Nigeria,POS,Afternoon,15,1713,Low
TXN00315,CUST002,4246.73,RTGS,UAE,POS,Afternoon,8,1798,Low
TXN00316,CUST014,4317.48,SWIFT,UAE,Web,Afternoon,4,947,High
TXN00317,CUST018,3887.48,SWIFT,Nigeria,ATM,Afternoon,17,135,Low
TXN00318,CUST011,1833.01,IMPS,Nigeria,POS,Morning,9,664,Low
TXN00319,CUST012,320.96,NEFT,UAE,ATM,Afternoon,22,1469,Low
TXN00320,CUST012,3550.13,IMPS,USA,Web,Night,22,1913,Low
TXN00321,CUST009,16181.16,IMPS,Singapore,Web,Morning,13,36,Medium
TXN00322,CUST004,10812.25,IMPS,Germany,ATM,Night,16,51,Low
TXN00323,CUST002,6020.61,RTGS,Germany,POS,Night,17,903,Low
TXN00324,CUST014,5773.34,SWIFT,Singapore,Web,Morning,18,1577,Low
TXN00325,CUST020,1738.11,NEFT,Germany,ATM,Night,20,1620,Medium
TXN00326,CUST008,6352.23,Crypto,USA,POS,Afternoon,14,1865,Low
TXN00327,CUST006,8104.98,SWIFT,Germany,Web,Afternoon,18,1405,High
TXN00328,CUST020,7819.32,RTGS,Nigeria,Web,Morning,15,784,High
TXN00329,CUST016,11401.48,NEFT,Germany,POS,Morning,8,382,Medium
TXN00330,CUST009,18354.13,NEFT,Singapore,Web,Morning,14,834,Medium
TXN00331,CUST012,4245.49,NEFT,Germany,Mobile,Afternoon,16,1170,Low
TXN00332,CUST006,5033.79,IMPS,USA,POS,Night,16,961,Low
TXN00333,CUST019,5476.99,SWIFT,UAE,Web,Afternoon,12,1299,High
TXN00334,CUST014,4449.61,NEFT,UAE,ATM,Afternoon,14,50,Low
TXN00335,CUST006,13209.3,RTGS,Singapore,ATM,Afternoon,10,781,Medium
TXN00336,CUST009,9209.4,IMPS,India,Mobile,Afternoon,17,31,Low
TXN00337,CUST002,1996.43,NEFT,Germany,Mobile,Night,20,347,Low
TXN00338,CUST008,1024.68,RTGS,Nigeria,ATM,Morning,14,260,Low
TXN00339,CUST011,4450.9,SWIFT,USA,POS,Night,16,920,Low
